date_measured,temperature
2022-06-04 23:43:55+09,34
2022-06-04 23:48:55+09,34.3125
2022-06-04 23:53:55+09,34.5
2022-06-04 23:58:55+09,34.6875
2022-06-05 00:03:55+09,35
2022-06-05 00:08:55+09,34.9375
2022-06-05 00:13:55+09,34.8125
2022-06-05 00:18:55+09,34.875
2022-06-05 00:23:55+09,34.9375
2022-06-05 00:28:55+09,34.9375
2022-06-05 00:33:55+09,35
2022-06-05 00:38:55+09,35.125
2022-06-05 00:43:55+09,35.1875
2022-06-05 00:48:55+09,34.6875
2022-06-05 00:53:55+09,34.4375
2022-06-05 00:58:55+09,34.1875
2022-06-05 01:03:55+09,33.6875
2022-06-05 01:08:55+09,34.75
2022-06-05 01:13:55+09,35
2022-06-05 01:18:55+09,34.6875
2022-06-05 01:23:55+09,34.6875
2022-06-05 01:28:55+09,33.625
2022-06-05 01:33:55+09,33.25
2022-06-05 01:38:55+09,33.0625
2022-06-05 01:43:55+09,33.6875
2022-06-05 01:48:55+09,33.4375
2022-06-05 01:53:55+09,33.4375
2022-06-05 01:58:55+09,33.375
2022-06-05 02:03:55+09,35.5
2022-06-05 02:08:55+09,35.75
2022-06-05 02:13:55+09,35.8125
2022-06-05 02:18:55+09,33.6875
2022-06-05 02:23:55+09,32.125
2022-06-05 02:28:55+09,33
2022-06-05 02:33:55+09,32.125
2022-06-05 02:38:55+09,32.1875
2022-06-05 02:43:55+09,31.5625
2022-06-05 02:48:55+09,31.375
2022-06-05 02:53:55+09,31.5625
2022-06-05 02:58:55+09,32.0625
2022-06-05 03:03:57+09,31.9375
2022-06-05 03:08:57+09,32.375
2022-06-05 03:13:57+09,31.4375
2022-06-05 03:18:57+09,32.6875
2022-06-05 03:23:57+09,33.625
2022-06-05 03:28:57+09,34.25
2022-06-05 03:33:57+09,34.5
2022-06-05 03:38:57+09,33.8125
2022-06-05 03:43:57+09,33.75
2022-06-05 03:48:57+09,33.6875
2022-06-05 03:53:57+09,33.8125
2022-06-05 03:58:57+09,34.4375
2022-06-05 04:03:57+09,35.3125
2022-06-05 04:08:57+09,33.1875
2022-06-05 04:13:57+09,32.1875
2022-06-05 04:18:57+09,32.375
2022-06-05 04:23:57+09,32.125
2022-06-05 04:28:57+09,32.875
2022-06-05 04:33:57+09,32.1875
2022-06-05 04:38:57+09,31.8125
2022-06-05 04:43:57+09,32.125
2022-06-05 04:48:57+09,31.75
2022-06-05 04:53:57+09,30.9375
2022-06-05 04:58:57+09,30.8125
2022-06-05 05:03:57+09,32
2022-06-05 05:08:57+09,31.125
2022-06-05 05:13:57+09,32.3125
2022-06-05 05:18:57+09,31.75
2022-06-05 05:23:57+09,32.375
2022-06-05 05:28:57+09,32.3125
2022-06-05 05:33:57+09,31.4375
2022-06-05 05:38:57+09,31.5
2022-06-05 05:43:57+09,30.8125
2022-06-05 05:48:57+09,31.0625
2022-06-05 05:53:57+09,31.875
2022-06-05 05:58:57+09,31.625
2022-06-05 06:03:57+09,31.3125
2022-06-05 06:08:57+09,31.5625
2022-06-05 06:13:57+09,31.5
2022-06-05 06:18:57+09,31.8125
2022-06-05 06:23:57+09,31.1875
2022-06-05 06:28:57+09,30.5625
2022-06-05 06:33:57+09,30.3125
2022-06-05 06:38:57+09,30.8125
2022-06-05 06:43:57+09,31.6875
2022-06-05 06:48:57+09,31.5625
2022-06-05 06:53:57+09,31.375
2022-06-05 06:58:57+09,31
2022-06-05 07:03:57+09,30.9375
2022-06-05 07:08:57+09,32.0625
2022-06-05 07:13:57+09,32.25
2022-06-05 07:18:57+09,31.6875
2022-06-05 07:23:57+09,31
2022-06-05 07:28:57+09,31.4375
2022-06-05 07:33:57+09,32.0625
2022-06-05 07:38:57+09,31.6875
2022-06-05 07:43:57+09,31.5
2022-06-05 07:48:57+09,32.1875
2022-06-05 07:53:57+09,32.1875
2022-06-05 07:58:57+09,32
2022-06-05 08:03:57+09,32.1875
2022-06-05 08:08:57+09,32.1875
2022-06-05 08:13:57+09,31.875
2022-06-05 08:18:57+09,31.625
2022-06-05 08:23:57+09,32.1875
2022-06-05 08:28:57+09,32
2022-06-05 08:33:57+09,32.125
2022-06-05 08:38:57+09,32.6875
2022-06-05 08:43:57+09,32.8125
2022-06-05 08:48:57+09,32.875
2022-06-05 08:53:57+09,32.875
2022-06-05 08:58:57+09,32.375
2022-06-05 09:03:57+09,32.625
2022-06-05 09:08:57+09,32.5
2022-06-05 09:13:57+09,33
2022-06-05 09:18:57+09,33.125
2022-06-05 09:23:57+09,32.3125
2022-06-05 09:28:57+09,33.125
2022-06-05 09:33:57+09,33.1875
2022-06-05 09:38:57+09,33.1875
2022-06-05 09:43:57+09,33.25
2022-06-05 09:48:57+09,33.3125
2022-06-05 09:53:57+09,32.75
2022-06-05 09:58:57+09,33.125
2022-06-05 10:03:57+09,33.1875
2022-06-05 10:08:57+09,33.125
2022-06-05 10:13:57+09,32.125
2022-06-05 10:18:57+09,35.875
2022-06-05 10:23:57+09,35.6875
2022-06-05 10:28:57+09,39.1875
2022-06-05 10:33:57+09,40.875
2022-06-05 10:38:57+09,32.9375
2022-06-05 10:43:57+09,38.9375
2022-06-05 10:48:57+09,40.625
2022-06-05 10:53:57+09,27.375
2022-06-05 10:58:57+09,31.25
2022-06-05 11:03:57+09,36.8125
2022-06-05 11:08:57+09,40.75
2022-06-05 11:13:57+09,26.9375
2022-06-05 11:18:57+09,35.3125
2022-06-05 11:23:57+09,29.3125
2022-06-05 11:28:57+09,31.25
2022-06-05 11:33:57+09,28.375
2022-06-05 11:38:57+09,29
2022-06-05 11:43:57+09,30.6875
2022-06-05 11:48:57+09,29.25
2022-06-05 11:53:57+09,30.6875
2022-06-05 11:58:57+09,32.1875
2022-06-05 12:03:57+09,32.25
2022-06-05 12:08:57+09,32.125
2022-06-05 12:13:57+09,32.375
2022-06-05 12:18:57+09,31.6875
2022-06-05 12:23:57+09,32.0625
2022-06-05 12:28:57+09,32.1875
2022-06-05 12:33:57+09,33.5625
2022-06-05 12:38:57+09,31.875
2022-06-05 12:43:57+09,30.875
2022-06-05 12:48:57+09,31.875
2022-06-05 12:53:57+09,32.8125
2022-06-05 12:58:57+09,33.25
2022-06-05 13:03:57+09,33.6875
2022-06-05 13:08:57+09,34.4375
2022-06-05 13:13:57+09,34.6875
2022-06-05 13:18:57+09,34.5625
2022-06-05 13:23:57+09,34.3125
2022-06-05 13:28:57+09,35.0625
2022-06-05 13:33:57+09,35.1875
2022-06-05 13:38:57+09,35.4375
2022-06-05 13:43:57+09,35.5
2022-06-05 13:48:57+09,35.5625
2022-06-05 13:53:57+09,35.6875
2022-06-05 13:58:57+09,34.125
2022-06-05 14:03:57+09,33.5
2022-06-05 14:08:57+09,34.25
2022-06-05 14:13:57+09,34.875
2022-06-05 14:18:57+09,34.375
2022-06-05 14:23:57+09,34.375
2022-06-05 14:28:57+09,34.625
2022-06-05 14:33:57+09,34.625
2022-06-05 14:38:57+09,35.1875
2022-06-05 14:43:57+09,35.4375
2022-06-05 14:48:57+09,35.5
2022-06-05 14:53:57+09,35.75
2022-06-05 14:58:57+09,35.8125
2022-06-05 15:03:57+09,35.625
2022-06-05 15:08:57+09,35.6875
2022-06-05 15:13:57+09,35.3125
2022-06-05 15:18:57+09,35.5
2022-06-05 15:23:57+09,35.625
2022-06-05 15:28:57+09,35.75
2022-06-05 15:33:57+09,35.6875
2022-06-05 15:38:57+09,35.6875
2022-06-05 15:43:57+09,35.75
2022-06-05 15:48:57+09,35.6875
2022-06-05 15:53:57+09,35.6875
2022-06-05 15:58:57+09,35.6875
2022-06-05 16:03:57+09,35.5
2022-06-05 16:08:57+09,35.1875
2022-06-05 16:13:57+09,34.125
2022-06-05 16:18:57+09,34.6875
2022-06-05 16:23:57+09,35
2022-06-05 16:28:57+09,35.25
2022-06-05 16:33:57+09,35.1875
2022-06-05 16:38:57+09,35.375
2022-06-05 16:43:57+09,35.4375
2022-06-05 16:48:57+09,35.4375
2022-06-05 16:53:57+09,35.5625
2022-06-05 16:59:00+09,35.625
2022-06-05 17:04:00+09,35.75
2022-06-05 17:09:00+09,35.6875
2022-06-05 17:14:00+09,35.75
2022-06-05 17:19:00+09,35.875
2022-06-05 17:24:00+09,34.8125
2022-06-05 17:29:00+09,33.125
2022-06-05 17:34:00+09,34.125
2022-06-05 17:39:00+09,34.1875
2022-06-05 17:44:00+09,34.0625
2022-06-05 17:49:00+09,33
2022-06-05 17:54:00+09,32.625
2022-06-05 17:59:00+09,32.0625
2022-06-05 18:04:00+09,33.5
2022-06-05 18:09:00+09,32.8125
2022-06-05 18:14:00+09,32.375
2022-06-05 18:19:00+09,32.5
2022-06-05 18:24:00+09,32.1875
2022-06-05 18:29:00+09,32.0625
2022-06-05 18:34:00+09,33.3125
2022-06-05 18:39:00+09,33.875
2022-06-05 18:44:00+09,33.125
2022-06-05 18:49:00+09,32.625
2022-06-05 18:54:00+09,33.625
2022-06-05 18:59:00+09,33.25
2022-06-05 19:04:00+09,33.5
2022-06-05 19:09:00+09,33.1875
2022-06-05 19:14:00+09,33.25
2022-06-05 19:19:00+09,32.8125
2022-06-05 19:24:00+09,33.125
2022-06-05 19:29:00+09,33.5
2022-06-05 19:34:00+09,34
2022-06-05 19:39:00+09,33.3125
2022-06-05 19:44:00+09,33.9375
